Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
50.0;5.0;1.0;46370.0;26.41;37.53;23.57;2.74;0.1;1.33
50.0;5.0;2.0;46370.0;162.47;200.15;128.4;0.42;0.05;1.13
50.0;5.0;3.0;46370.0;178.64;250.71;210.45;0.27;0.13;4.24
50.0;5.0;4.0;46370.0;114.5;142.93;122.3;1.38;0.73;0.95
50.0;5.0;5.0;46370.0;112.25;112.75;112.25;0.26;0.08;0.95
100.0;5.0;1.0;46370.0;57.47;64.83;51.18;2.77;0.08;4.12
100.0;5.0;2.0;46370.0;183.71;251.3;183.64;2.78;0.22;3.54
100.0;5.0;3.0;46370.0;320.43;391.18;320.43;0.16;0.02;1.13
100.0;5.0;4.0;46370.0;237.2;282.02;235.98;2.85;0.83;1.14
100.0;5.0;5.0;46370.0;283.41;290.24;233.61;2.01;0.41;1.79
250.0;5.0;1.0;46370.0;124.2;139.59;124.2;6.73;2.19;110.23
250.0;5.0;2.0;46370.0;456.92;604.77;457.5;1.86;1.08;7.17
250.0;5.0;3.0;46370.0;954.62;1225.18;850.35;2.7;0.1;4.14
250.0;5.0;4.0;46370.0;509.3;582.87;506.87;18.63;3.88;61.28
250.0;5.0;5.0;46370.0;396.93;432.76;396.93;9.75;3.9;8.89
500.0;5.0;1.0;46370.0;262.5;276.89;260.62;10.44;6.15;150.69
500.0;5.0;2.0;46370.0;833.47;1045.42;833.21;10.72;7.77;14.22
500.0;5.0;3.0;46370.0;2117.32;2118.16;1838.65;181.71;0.91;30.01
500.0;5.0;4.0;46370.0;1111.53;1112.32;NaN;187.62;7.3;181.15
500.0;5.0;5.0;46370.0;832.62;985.43;NaN;117.68;7.89;181.99
1000.0;5.0;1.0;46370.0;586.34;586.69;576.6;194.95;13.5;165.93
1000.0;5.0;2.0;46370.0;2163.84;2164.36;NaN;168.58;13.47;310.69
1000.0;5.0;3.0;46370.0;4388.46;4388.86;NaN;184.16;3.17;407.12
1000.0;5.0;4.0;46370.0;2445.29;2445.56;NaN;194.96;12.19;181.34
1000.0;5.0;5.0;46370.0;1952.63;1983.84;NaN;197.84;15.46;283.73
50.0;5.0;1.0;92139.0;24.14;33.85;24.14;0.31;0.2;0.79
50.0;5.0;2.0;92139.0;201.33;441.95;201.32;0.86;0.53;0.72
50.0;5.0;3.0;92139.0;256.97;369.98;256.97;2.97;1.18;1.18
50.0;5.0;4.0;92139.0;344.95;737.38;351.24;5.3;0.14;13.07
50.0;5.0;5.0;92139.0;208.48;212.43;208.48;0.11;0.01;0.51
100.0;5.0;1.0;92139.0;59.27;65.91;59.27;0.61;0.51;103.88
100.0;5.0;2.0;92139.0;392.92;426.64;394.84;0.35;0.07;0.96
100.0;5.0;3.0;92139.0;423.62;462.25;423.62;0.28;0.15;1.95
100.0;5.0;4.0;92139.0;683.62;1059.49;NaN;0.26;0.01;13.48
100.0;5.0;5.0;92139.0;349.5;354.85;349.5;0.13;0.0;1.74
250.0;5.0;1.0;92139.0;141.88;149.72;NaN;7.95;1.51;16.68
250.0;5.0;2.0;92139.0;1011.95;1330.61;1011.95;4.48;2.99;4.07
250.0;5.0;3.0;92139.0;958.14;2375.47;958.17;3.39;2.89;4.41
250.0;5.0;4.0;92139.0;1435.84;2115.76;1562.93;20.74;1.68;20.2
250.0;5.0;5.0;92139.0;591.73;591.76;591.73;0.34;0.01;9.18
500.0;5.0;1.0;92139.0;257.56;273.4;NaN;12.16;9.81;61.27
500.0;5.0;2.0;92139.0;2053.12;2536.12;2053.24;28.93;5.54;135.59
500.0;5.0;3.0;92139.0;2053.41;2481.58;2053.79;26.5;0.76;41.12
500.0;5.0;4.0;92139.0;3239.7;3241.48;2834.79;181.37;0.8;80.81
500.0;5.0;5.0;92139.0;998.5;999.18;998.5;0.7;0.03;52.09
1000.0;5.0;1.0;92139.0;572.81;593.57;998.5;28.42;11.81;133.95
1000.0;5.0;2.0;92139.0;4023.7;4906.35;NaN;192.78;16.31;314.27
1000.0;5.0;3.0;92139.0;4419.14;4419.56;NaN;195.67;14.04;180.69
1000.0;5.0;4.0;92139.0;6963.42;6963.44;NaN;181.93;0.34;353.19
1000.0;5.0;5.0;92139.0;2065.72;2066.19;NaN;182.87;0.62;182.44
50.0;5.0;1.0;10388.0;21.02;27.67;23.06;0.19;0.11;1.3
50.0;5.0;2.0;10388.0;175.62;191.1;177.61;1.29;0.02;1.03
50.0;5.0;3.0;10388.0;239.69;611.12;239.69;0.15;0.0;0.42
50.0;5.0;4.0;10388.0;321.6;468.21;321.6;0.15;0.06;0.53
50.0;5.0;5.0;10388.0;163.52;176.29;163.52;0.1;0.0;3.07
100.0;5.0;1.0;10388.0;54.88;57.84;54.8;0.84;0.02;104.46
100.0;5.0;2.0;10388.0;362.48;461.51;362.47;1.18;0.04;1.24
100.0;5.0;3.0;10388.0;432.52;497.92;432.52;0.15;0.01;0.66
100.0;5.0;4.0;10388.0;563.81;926.78;563.81;2.57;2.39;0.79
100.0;5.0;5.0;10388.0;326.99;367.96;749.86;0.15;0.01;15.01
250.0;5.0;1.0;10388.0;160.22;165.78;159.15;0.86;0.37;19.07
250.0;5.0;2.0;10388.0;946.89;1077.49;946.87;7.53;3.23;6.88
250.0;5.0;3.0;10388.0;1036.48;1250.08;1036.47;2.32;0.09;6.17
250.0;5.0;4.0;10388.0;1606.36;1864.1;1606.48;30.81;3.67;29.71
250.0;5.0;5.0;10388.0;610.37;689.23;610.37;4.71;0.01;7.27
500.0;5.0;1.0;10388.0;302.85;324.86;302.85;13.93;4.87;137.07
500.0;5.0;2.0;10388.0;2149.53;3657.27;1966.02;216.92;5.95;97.05
500.0;5.0;3.0;10388.0;2002.09;2383.27;2002.09;5.75;0.1;9.94
500.0;5.0;4.0;10388.0;3023.01;3024.52;NaN;187.08;6.7;181.3
500.0;5.0;5.0;10388.0;1083.82;1132.6;1083.82;7.33;0.57;14.3
1000.0;5.0;1.0;10388.0;NaN;669.05;NaN;56.69;15.98;181.6
1000.0;5.0;2.0;10388.0;3744.8;4541.72;NaN;87.64;13.05;250.64
1000.0;5.0;3.0;10388.0;4774.65;4774.73;NaN;182.43;0.6;294.6
1000.0;5.0;4.0;10388.0;11513.24;11513.46;NaN;187.15;3.83;191.61
1000.0;5.0;5.0;10388.0;2065.19;2081.67;2065.19;94.74;0.11;119.72
50.0;5.0;1.0;85380.0;30.62;38.3;30.79;0.1;0.01;1.25
50.0;5.0;2.0;85380.0;51.21;54.68;53.21;0.08;0.03;0.91
50.0;5.0;3.0;85380.0;301.3;365.03;308.79;0.12;0.02;4.93
50.0;5.0;4.0;85380.0;298.98;556.3;298.98;1.27;1.18;2.79
50.0;5.0;5.0;85380.0;166.32;183.77;166.32;0.62;0.07;0.48
100.0;5.0;1.0;85380.0;59.29;67.14;59.76;0.17;0.04;106.62
100.0;5.0;2.0;85380.0;131.25;142.12;126.21;0.54;0.4;3.63
100.0;5.0;3.0;85380.0;589.09;695.81;588.8;1.36;1.18;2.81
100.0;5.0;4.0;85380.0;652.31;848.22;610.81;2.44;0.22;1.23
100.0;5.0;5.0;85380.0;316.18;323.86;316.18;0.16;0.01;1.09
250.0;5.0;1.0;85380.0;125.63;133.39;125.74;1.31;0.92;14.36
250.0;5.0;2.0;85380.0;250.94;271.66;NaN;4.46;4.13;35.22
250.0;5.0;3.0;85380.0;1526.31;1834.85;1526.31;112.83;0.53;114.63
250.0;5.0;4.0;85380.0;1520.77;2142.51;1490.27;49.11;0.72;13.39
250.0;5.0;5.0;85380.0;531.79;557.35;608.03;9.66;0.03;56.55
500.0;5.0;1.0;85380.0;279.76;296.67;265.17;116.54;8.1;156.1
500.0;5.0;2.0;85380.0;493.59;514.88;490.62;117.03;9.96;93.42
500.0;5.0;3.0;85380.0;3861.55;3861.87;NaN;194.61;0.15;180.7
500.0;5.0;4.0;85380.0;3993.22;3993.27;NaN;180.74;0.31;181.44
500.0;5.0;5.0;85380.0;1006.51;1037.86;1006.51;113.36;0.36;136.71
1000.0;5.0;1.0;85380.0;570.8;589.3;NaN;152.38;16.53;110.29
1000.0;5.0;2.0;85380.0;969.71;1134.62;970.15;41.95;36.32;197.0
1000.0;5.0;3.0;85380.0;7780.89;7781.56;NaN;183.58;0.34;182.07
1000.0;5.0;4.0;85380.0;8313.13;8313.42;NaN;196.6;0.31;321.96
1000.0;5.0;5.0;85380.0;2196.63;2197.14;NaN;181.68;0.51;387.38
50.0;5.0;1.0;57199.0;29.13;41.78;29.41;0.09;0.02;1.2
50.0;5.0;2.0;57199.0;303.17;348.02;304.22;0.19;0.07;1.11
50.0;5.0;3.0;57199.0;319.51;687.86;371.45;0.17;0.0;9.54
50.0;5.0;4.0;57199.0;213.13;228.26;226.25;0.19;0.1;0.54
50.0;5.0;5.0;57199.0;316.04;340.49;NaN;0.11;0.01;5.47
100.0;5.0;1.0;57199.0;57.48;65.78;56.85;0.15;0.03;5.05
100.0;5.0;2.0;57199.0;672.09;693.68;671.99;1.25;0.03;1.11
100.0;5.0;3.0;57199.0;655.55;716.62;655.55;0.3;0.14;0.93
100.0;5.0;4.0;57199.0;470.87;537.84;469.95;0.19;0.01;2.17
100.0;5.0;5.0;57199.0;450.88;535.52;450.88;0.34;0.15;3.86
250.0;5.0;1.0;57199.0;130.25;138.64;NaN;6.23;5.9;104.14
250.0;5.0;2.0;57199.0;1677.08;1747.03;1677.08;2.62;0.67;4.25
250.0;5.0;3.0;57199.0;1436.98;1643.06;1437.06;0.53;0.13;2.45
250.0;5.0;4.0;57199.0;1003.16;1107.84;1003.16;22.64;3.46;25.51
250.0;5.0;5.0;57199.0;631.73;686.91;631.73;0.71;0.36;7.16
500.0;5.0;1.0;57199.0;288.03;296.44;280.3;10.1;9.44;136.1
500.0;5.0;2.0;57199.0;3316.39;4687.24;3316.48;35.63;5.13;109.22
500.0;5.0;3.0;57199.0;2989.25;3607.1;2989.25;6.35;0.99;15.02
500.0;5.0;4.0;57199.0;NaN;3476.87;NaN;183.37;2.8;180.44
500.0;5.0;5.0;57199.0;1108.52;1163.77;1108.52;5.83;0.12;11.9
1000.0;5.0;1.0;57199.0;580.03;649.75;NaN;31.26;11.16;124.75
1000.0;5.0;2.0;57199.0;6711.32;9291.09;NaN;109.05;9.12;284.16
1000.0;5.0;3.0;57199.0;7005.36;7005.63;NaN;182.28;1.69;181.65
1000.0;5.0;4.0;57199.0;6816.62;6816.72;NaN;34.47;8.15;295.96
1000.0;5.0;5.0;57199.0;2109.06;2261.69;NaN;163.07;0.11;190.38
50.0;5.0;1.0;6648.0;26.56;32.19;24.94;0.14;0.05;1.2
50.0;5.0;2.0;6648.0;725.77;903.77;725.72;2.01;0.61;6.96
50.0;5.0;3.0;6648.0;336.73;694.15;336.73;0.67;0.56;0.44
50.0;5.0;4.0;6648.0;841.28;1106.55;917.95;0.22;0.01;0.54
50.0;5.0;5.0;6648.0;310.39;328.54;310.39;0.14;0.05;2.68
100.0;5.0;1.0;6648.0;52.6;62.01;52.6;0.36;0.23;4.84
100.0;5.0;2.0;6648.0;1421.07;1574.75;1421.34;0.38;0.23;0.83
100.0;5.0;3.0;6648.0;1192.87;1799.39;1192.87;0.45;0.27;0.65
100.0;5.0;4.0;6648.0;1505.08;1672.42;1674.13;0.19;0.02;1.52
100.0;5.0;5.0;6648.0;416.18;470.08;416.7;0.25;0.1;1.3
250.0;5.0;1.0;6648.0;164.17;174.6;155.17;52.62;5.56;105.88
250.0;5.0;2.0;6648.0;3999.74;4517.2;3999.74;7.73;3.0;1.91
250.0;5.0;3.0;6648.0;2969.93;3757.56;2969.96;1.57;0.79;5.76
250.0;5.0;4.0;6648.0;4067.58;4705.8;4859.07;143.11;0.49;104.08
250.0;5.0;5.0;6648.0;761.52;794.16;838.13;1.63;0.05;28.47
