Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
52.0;4.0;1.0;46370.0;34.58;49.99;34.58;0.08;0.02;2.05
52.0;4.0;2.0;46370.0;84.86;118.7;84.86;0.09;0.01;0.97
52.0;4.0;3.0;46370.0;198.43;221.37;198.43;0.15;0.09;0.77
52.0;4.0;4.0;46370.0;159.93;166.67;144.75;0.12;0.06;1.12
52.0;4.0;5.0;46370.0;179.84;194.98;179.84;0.08;0.01;0.78
100.0;4.0;1.0;46370.0;64.9;71.5;64.84;0.53;0.33;101.71
100.0;4.0;2.0;46370.0;149.08;160.31;149.74;0.17;0.08;3.64
100.0;4.0;3.0;46370.0;367.38;372.71;503.07;1.65;0.1;0.91
100.0;4.0;4.0;46370.0;241.26;248.22;238.19;0.36;0.22;1.93
100.0;4.0;5.0;46370.0;323.17;414.18;323.72;0.51;0.2;1.98
252.0;4.0;1.0;46370.0;149.52;154.15;149.52;3.83;3.61;105.63
252.0;4.0;2.0;46370.0;304.04;314.31;305.25;5.89;5.62;95.62
252.0;4.0;3.0;46370.0;898.22;1270.08;1246.81;4.01;2.81;17.13
252.0;4.0;4.0;46370.0;410.57;437.36;410.57;6.07;0.72;19.6
252.0;4.0;5.0;46370.0;729.18;808.95;729.18;3.29;0.29;19.44
500.0;4.0;1.0;46370.0;308.82;321.41;309.02;9.42;8.92;40.77
500.0;4.0;2.0;46370.0;597.55;606.93;597.55;2.08;1.01;16.6
500.0;4.0;3.0;46370.0;2293.83;2294.5;NaN;181.51;0.51;181.01
500.0;4.0;4.0;46370.0;794.53;829.93;794.53;116.56;1.11;123.35
500.0;4.0;5.0;46370.0;1438.72;1560.87;1438.72;25.07;7.39;34.23
1000.0;4.0;1.0;46370.0;674.85;687.78;690.99;15.04;0.73;116.0
1000.0;4.0;2.0;46370.0;1262.93;1311.5;1256.52;15.28;2.18;133.59
1000.0;4.0;3.0;46370.0;4672.68;4672.99;NaN;182.39;1.44;193.76
1000.0;4.0;4.0;46370.0;1659.17;1659.38;NaN;204.4;22.09;181.36
1000.0;4.0;5.0;46370.0;3044.77;3067.03;NaN;201.55;20.75;229.09
52.0;4.0;1.0;92139.0;44.36;56.15;44.16;0.13;0.07;1.36
52.0;4.0;2.0;92139.0;88.03;107.65;87.0;0.13;0.0;0.41
52.0;4.0;3.0;92139.0;317.04;462.74;317.04;0.73;0.06;1.32
52.0;4.0;4.0;92139.0;258.73;267.1;258.73;0.08;0.0;0.44
52.0;4.0;5.0;92139.0;544.29;593.39;540.24;0.31;0.2;1.85
100.0;4.0;1.0;92139.0;78.94;91.95;79.16;0.37;0.2;4.31
100.0;4.0;2.0;92139.0;137.06;137.49;140.9;0.49;0.37;2.74
100.0;4.0;3.0;92139.0;582.93;675.36;490.76;5.47;0.01;0.82
100.0;4.0;4.0;92139.0;371.25;371.47;371.25;0.12;0.01;1.35
100.0;4.0;5.0;92139.0;1069.66;1069.71;1089.34;0.17;0.01;1.32
