Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
51.0;3;1.0;46370.0;46.01;57.35;44.92;0.23;0.17;100.76
51.0;3;2.0;46370.0;198.58;207.18;198.75;0.13;0.0;0.5
51.0;3;3.0;46370.0;130.46;165.26;130.46;0.08;0.0;0.64
51.0;3;4.0;46370.0;233.79;237.32;233.79;0.08;0.0;0.32
51.0;3;5.0;46370.0;245.86;254.01;245.86;0.08;0.0;0.4
102.0;3;1.0;46370.0;86.14;90.0;NaN;0.1;0.01;39.76
102.0;3;2.0;46370.0;299.33;332.03;299.32;1.61;1.53;1.85
102.0;3;3.0;46370.0;205.5;209.18;NaN;0.11;0.0;12.31
102.0;3;4.0;46370.0;423.85;458.76;423.85;0.27;0.08;1.25
102.0;3;5.0;46370.0;463.26;504.28;468.27;0.12;0.01;1.52
252.0;3;1.0;46370.0;197.44;199.91;NaN;3.68;3.53;28.76
252.0;3;2.0;46370.0;794.38;1031.03;794.38;5.09;4.92;2.66
252.0;3;3.0;46370.0;445.28;445.28;2284.51;0.19;0.01;27.61
252.0;3;4.0;46370.0;962.57;1039.16;962.62;0.54;0.2;20.61
252.0;3;5.0;46370.0;1103.99;1217.51;1103.99;3.77;3.54;114.33
501.0;3;1.0;46370.0;408.06;439.1;NaN;18.9;7.41;97.29
501.0;3;2.0;46370.0;1475.64;1926.52;1475.66;1.54;1.23;6.15
501.0;3;3.0;46370.0;940.77;941.26;940.77;0.31;0.01;8.6
501.0;3;4.0;46370.0;1831.83;1909.87;1831.83;0.38;0.03;12.67
501.0;3;5.0;46370.0;2189.94;2461.61;2189.94;16.35;6.94;16.08
1002.0;3;1.0;46370.0;846.8;873.41;845.32;21.84;14.75;124.39
1002.0;3;2.0;46370.0;3395.79;3396.09;2856.98;184.08;3.82;166.64
1002.0;3;3.0;46370.0;1894.51;1918.02;NaN;2.36;0.03;24.22
1002.0;3;4.0;46370.0;3633.45;3916.16;3633.45;57.73;0.07;98.77
1002.0;3;5.0;46370.0;4312.36;4771.25;NaN;132.68;14.1;181.09
51.0;3;1.0;92139.0;52.8;62.61;52.8;0.9;0.8;100.25
51.0;3;2.0;92139.0;369.7;382.22;369.7;0.07;0.0;0.51
51.0;3;3.0;92139.0;278.86;285.81;278.86;0.08;0.0;0.44
51.0;3;4.0;92139.0;526.36;586.65;527.48;1.89;0.0;2.74
51.0;3;5.0;92139.0;1190.13;1190.15;861.86;0.12;0.0;3.27
102.0;3;1.0;92139.0;95.82;106.18;NaN;1.45;1.39;69.49
102.0;3;2.0;92139.0;737.13;776.32;737.13;0.13;0.01;0.8
102.0;3;3.0;92139.0;358.4;431.54;358.4;0.12;0.01;1.7
102.0;3;4.0;92139.0;1097.47;1189.37;1099.73;1.03;0.07;0.83
102.0;3;5.0;92139.0;1711.54;1740.93;1711.54;0.1;0.01;1.08
252.0;3;1.0;92139.0;213.93;218.44;NaN;3.68;3.43;88.28
252.0;3;2.0;92139.0;1827.47;2631.15;1827.47;13.13;1.58;7.94
252.0;3;3.0;92139.0;581.94;584.57;581.94;0.27;0.01;9.21
252.0;3;4.0;92139.0;2646.58;2870.96;2646.58;0.22;0.02;3.06
252.0;3;5.0;92139.0;5247.3;5346.95;3858.64;0.21;0.03;5.17
501.0;3;1.0;92139.0;396.2;400.2;NaN;7.63;7.26;67.04
501.0;3;2.0;92139.0;3915.05;4583.65;NaN;1.82;0.39;189.38
501.0;3;3.0;92139.0;1011.85;1218.42;1011.85;1.75;0.02;10.89
501.0;3;4.0;92139.0;4988.23;5213.78;4988.33;0.73;0.38;7.19
501.0;3;5.0;92139.0;7908.58;8667.03;7908.58;52.4;6.84;48.43
1002.0;3;1.0;92139.0;847.62;853.79;857.71;16.21;13.99;45.08
1002.0;3;2.0;92139.0;7068.01;8457.75;NaN;49.78;0.15;182.39
1002.0;3;3.0;92139.0;2035.34;2035.63;NaN;1.43;0.75;180.14
1002.0;3;4.0;92139.0;10486.88;11211.9;10486.88;6.14;0.76;84.1
1002.0;3;5.0;92139.0;17374.42;17667.13;NaN;195.28;14.58;180.49
51.0;3;1.0;10388.0;34.07;38.61;34.07;0.07;0.0;0.5
51.0;3;2.0;10388.0;340.21;400.45;340.21;0.11;0.04;0.47
51.0;3;3.0;10388.0;178.24;196.36;178.24;0.08;0.0;0.41
51.0;3;4.0;10388.0;447.82;454.96;447.82;0.07;0.0;0.52
51.0;3;5.0;10388.0;1048.94;1077.71;1048.94;0.14;0.04;0.51
102.0;3;1.0;10388.0;88.83;92.42;79.28;0.18;0.01;101.24
102.0;3;2.0;10388.0;1077.15;1119.58;709.52;3.4;1.08;2.19
102.0;3;3.0;10388.0;250.32;250.88;250.32;0.09;0.0;1.92
102.0;3;4.0;10388.0;1014.53;1031.77;1014.53;0.13;0.0;0.69
102.0;3;5.0;10388.0;1903.88;2238.73;2023.76;5.35;2.73;0.62
252.0;3;1.0;10388.0;249.35;249.96;242.11;28.5;0.02;102.59
252.0;3;2.0;10388.0;1749.69;2240.58;NaN;0.3;0.09;6.3
252.0;3;3.0;10388.0;563.81;564.02;563.81;0.25;0.01;1.44
252.0;3;4.0;10388.0;2887.37;2941.31;2887.37;0.45;0.31;10.6
252.0;3;5.0;10388.0;4783.61;5879.03;4500.95;5.24;4.95;4.63
501.0;3;1.0;10388.0;479.85;514.92;NaN;11.15;1.27;75.9
501.0;3;2.0;10388.0;3530.01;4243.74;4893.65;0.79;0.46;167.36
501.0;3;3.0;10388.0;1080.68;1080.81;1080.68;0.31;0.01;17.88
501.0;3;4.0;10388.0;5260.86;5310.11;NaN;3.12;0.38;180.55
501.0;3;5.0;10388.0;9134.84;11431.45;8829.8;10.44;10.18;8.48
1002.0;3;1.0;10388.0;921.39;921.92;NaN;13.23;12.43;32.45
1002.0;3;2.0;10388.0;6778.53;8857.79;NaN;69.21;9.94;127.73
1002.0;3;3.0;10388.0;2000.15;2000.19;NaN;0.58;0.03;180.82
1002.0;3;4.0;10388.0;11121.31;11248.94;11121.31;25.49;0.29;130.86
1002.0;3;5.0;10388.0;17224.17;18022.8;17224.17;175.83;19.71;119.92
