Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
250.0;2.0;3.0;10388.0;3213.37;3214.04;3213.37;0.13;0.01;0.96
250.0;2.0;4.0;10388.0;5208.68;5209.23;5208.68;0.13;0.01;3.12
250.0;2.0;5.0;10388.0;6417.51;6419.17;6417.51;0.21;0.01;3.69
500.0;2.0;1.0;10388.0;685.64;707.91;685.21;0.94;0.29;105.85
500.0;2.0;2.0;10388.0;1025.56;1025.78;NaN;0.18;0.01;22.58
500.0;2.0;3.0;10388.0;6256.28;6256.49;6256.28;0.33;0.01;2.75
500.0;2.0;4.0;10388.0;10166.27;10177.76;10166.27;0.27;0.01;114.86
500.0;2.0;5.0;10388.0;12739.26;12747.7;12739.26;0.5;0.24;3.37
1000.0;2.0;1.0;10388.0;1248.52;1249.55;1248.52;0.88;0.51;120.26
1000.0;2.0;2.0;10388.0;1984.67;1984.73;1984.67;0.4;0.01;108.23
1000.0;2.0;3.0;10388.0;12488.61;12490.22;12488.61;0.69;0.03;102.56
1000.0;2.0;4.0;10388.0;20520.67;20520.76;20520.67;0.7;0.01;104.05
1000.0;2.0;5.0;10388.0;24719.32;24719.43;24719.32;0.5;0.1;112.62
50.0;2.0;1.0;85380.0;64.49;66.42;64.49;0.05;0.0;25.61
50.0;2.0;2.0;85380.0;110.43;111.81;110.43;0.06;0.0;0.23
50.0;2.0;3.0;85380.0;962.82;983.81;962.82;0.09;0.0;0.64
50.0;2.0;4.0;85380.0;1105.87;1126.64;1113.0;0.08;0.02;0.09
50.0;2.0;5.0;85380.0;1388.78;1389.63;1388.78;0.09;0.0;0.48
100.0;2.0;1.0;85380.0;139.24;141.13;149.84;0.08;0.0;0.32
100.0;2.0;2.0;85380.0;247.58;249.47;247.58;0.08;0.0;0.38
100.0;2.0;3.0;85380.0;1976.93;2061.96;1976.93;0.24;0.0;0.72
100.0;2.0;4.0;85380.0;3078.25;3081.48;3078.24;0.1;0.0;1.29
100.0;2.0;5.0;85380.0;2589.67;2592.74;2589.67;0.14;0.0;100.87
250.0;2.0;1.0;85380.0;284.94;285.93;284.29;0.4;0.18;3.15
250.0;2.0;2.0;85380.0;446.6;446.98;446.6;0.18;0.0;1.12
250.0;2.0;3.0;85380.0;4973.45;5054.58;4973.45;0.24;0.01;1.03
250.0;2.0;4.0;85380.0;4961.95;4971.31;4961.95;0.24;0.0;1.23
250.0;2.0;5.0;85380.0;6755.54;8277.74;6755.54;0.41;0.01;2.67
500.0;2.0;1.0;85380.0;612.28;655.69;612.28;2.4;0.65;37.63
500.0;2.0;2.0;85380.0;918.26;918.7;918.26;0.35;0.01;102.18
500.0;2.0;3.0;85380.0;10176.87;10386.36;10176.87;0.77;0.43;3.06
500.0;2.0;4.0;85380.0;15270.43;15270.45;9533.68;0.3;0.01;100.87
500.0;2.0;5.0;85380.0;13637.72;13637.86;13637.72;0.49;0.2;102.51
1000.0;2.0;1.0;85380.0;1293.61;1298.64;1289.32;1.02;0.45;6.13
1000.0;2.0;2.0;85380.0;1823.04;1823.15;1823.04;0.42;0.02;101.56
1000.0;2.0;3.0;85380.0;20126.51;20561.62;20126.51;0.56;0.04;103.48
1000.0;2.0;4.0;85380.0;19535.79;19536.12;19535.79;0.45;0.02;102.13
1000.0;2.0;5.0;85380.0;26175.9;26192.04;26175.9;0.75;0.15;6.78
