Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
54.0;6.0;1.0;46370.0;25.95;37.34;27.35;0.25;0.14;2.56
54.0;6.0;2.0;46370.0;56.01;89.84;55.03;0.33;0.15;0.58
54.0;6.0;3.0;46370.0;88.56;113.02;165.66;1.0;0.59;9.9
54.0;6.0;4.0;46370.0;134.16;160.87;NaN;0.15;0.05;3.57
54.0;6.0;5.0;46370.0;102.89;125.01;102.89;0.13;0.01;1.07
102.0;6.0;1.0;46370.0;44.02;51.99;44.02;0.35;0.19;107.31
102.0;6.0;2.0;46370.0;105.59;131.42;103.86;1.21;1.03;1.58
102.0;6.0;3.0;46370.0;124.62;140.92;129.96;0.73;0.4;8.36
102.0;6.0;4.0;46370.0;234.46;242.59;234.33;0.74;0.49;1.59
102.0;6.0;5.0;46370.0;244.75;292.07;226.35;3.11;1.06;2.54
252.0;6.0;1.0;46370.0;108.88;111.47;108.98;5.69;4.25;104.49
252.0;6.0;2.0;46370.0;229.69;267.68;225.3;41.07;6.06;38.57
252.0;6.0;3.0;46370.0;285.33;315.61;285.33;1.58;1.11;6.39
252.0;6.0;4.0;46370.0;494.33;638.53;486.03;34.4;3.04;18.94
252.0;6.0;5.0;46370.0;467.08;561.85;460.07;34.49;4.9;88.81
504.0;6.0;1.0;46370.0;227.79;260.65;NaN;27.96;12.18;56.09
504.0;6.0;2.0;46370.0;450.67;505.28;442.59;14.22;3.48;36.85
504.0;6.0;3.0;46370.0;595.75;621.46;595.66;108.04;4.42;181.04
504.0;6.0;4.0;46370.0;1347.61;1348.46;NaN;189.85;8.42;180.2
504.0;6.0;5.0;46370.0;889.96;1164.04;NaN;164.59;9.9;180.66
1002.0;6.0;1.0;46370.0;474.54;510.78;NaN;97.11;19.44;201.08
1002.0;6.0;2.0;46370.0;872.29;1016.97;NaN;54.63;23.51;740.17
1002.0;6.0;3.0;46370.0;1278.03;1285.56;NaN;132.96;3.08;529.74
1002.0;6.0;4.0;46370.0;2655.17;2655.49;NaN;196.43;15.59;808.54
1002.0;6.0;5.0;46370.0;2401.91;2431.12;NaN;201.39;17.55;632.6
54.0;6.0;1.0;92139.0;28.57;42.63;29.01;0.19;0.01;0.78
54.0;6.0;2.0;92139.0;50.25;67.86;50.62;0.19;0.09;2.19
54.0;6.0;3.0;92139.0;168.2;248.0;182.15;1.71;0.01;2.25
54.0;6.0;4.0;92139.0;395.6;534.96;395.85;2.44;0.06;1.55
54.0;6.0;5.0;92139.0;347.64;376.5;347.63;0.87;0.04;1.25
102.0;6.0;1.0;92139.0;45.03;51.5;45.08;0.48;0.29;6.79
102.0;6.0;2.0;92139.0;99.5;106.88;99.42;0.7;0.45;2.5
102.0;6.0;3.0;92139.0;259.62;281.34;260.34;3.21;2.01;2.09
102.0;6.0;4.0;92139.0;588.38;797.53;NaN;0.28;0.07;2.38
102.0;6.0;5.0;92139.0;646.93;1186.2;647.08;0.83;0.17;0.85
252.0;6.0;1.0;92139.0;116.51;124.06;112.87;4.95;0.52;111.23
252.0;6.0;2.0;92139.0;204.85;226.55;204.78;1.83;1.2;7.28
252.0;6.0;3.0;92139.0;396.81;401.59;375.7;6.5;2.7;6.59
252.0;6.0;4.0;92139.0;1279.18;1518.89;1279.18;6.12;1.16;11.06
252.0;6.0;5.0;92139.0;1432.48;3118.63;1422.08;185.09;6.82;42.89
504.0;6.0;1.0;92139.0;210.68;238.87;210.68;19.25;9.94;67.71
504.0;6.0;2.0;92139.0;404.45;542.67;403.19;23.81;22.39;16.84
504.0;6.0;3.0;92139.0;711.85;770.58;707.8;9.93;1.51;19.75
504.0;6.0;4.0;92139.0;2541.21;2869.15;2557.17;117.61;22.48;77.82
504.0;6.0;5.0;92139.0;4063.49;4528.23;NaN;192.71;11.22;181.01
1002.0;6.0;1.0;92139.0;451.43;534.5;NaN;99.36;2.88;109.19
1002.0;6.0;2.0;92139.0;945.59;946.82;NaN;259.07;35.86;60.17
1002.0;6.0;3.0;92139.0;1350.13;1415.55;NaN;36.63;1.69;696.63
